Trait	PeakID	Chromosome	BasePosition	VarianceExplained(%)	-log10p	LeftCI	RightCI	Distance to TE Position	Median Value
CER4-I(AR)	1	III	12454868	28.5	10.2	11764033	13514616	far	different
HELITRONY1A(ins)	1	III	10731446	32.59	8.4	10069771	10934569	far	different
LINE2A(ins)	1	I	11960401	20.07	7.9	7643111	13103633	near	same
LINE2A(ins)	2	II	12743355	19.06	7.15	12581085	12863445	far	different
MIRAGE1(all)	1	X	917271	16.36	5.76	174589	1450832	near	different
PAL3A(ins)	1	III	3185709	2.5	6	3052328	3420817	far	same
PAL3A(ins)	2	X	14454948	12.96	6.92	13777119	14749877	far	different
Tc1(AR)	1	V	1825241	35.93	5.87	1626674	2108139	near	different
WBT00000046(ins)	1	III	10984200	18.78	6.46	10857514	11247636	near	same
WBT00000046(ins)	2	IV	753331	15.49	7.05	129823	1502149	near	different
CELE14B(ins)	1	III	10928591	21.1	8.99	10663887	11277052	far	different
CELE14B(ins)	2	V	3785397	45.32	14.43	3246767	4131368	near	different
CELE42(ins)	1	III	12613203	10.29	5.98	12379323	13035604	far	same
CELE42(ins)	2	IV	5409635	19.6	6.62	4661284	6470567	far	same
CELE45(ins)	1	II	2866121	39.37	6.86	2660294	3364693	near	different
CELETC2(ins)	1	III	3771827	23.47	6.29	3472538	4558397	far	same
CEMUDR1(all)	1	IV	9753758	43.46	16.23	6664424	12853988	near	different
CEMUDR1(all)	2	X	4451792	19.42	6.91	3888794	4726590	near	different
CEMUDR1(all)	3	X	11720614	3.05	5.73	11309927	12154935	far	different
CEMUDR1(all)	4	X	13953175	4.61	6.02	13706468	14244301	near	different
CEMUDR1(ins)	1	IV	9879165	49.6	16.87	6664424	12853988	near	different
CEMUDR1(ins)	2	X	4451792	20.23	7.04	3888794	5753745	near	different
CEMUDR1(ins)	3	X	11720614	3.08	5.63	11337914	12100119	far	same
CEMUDR1(ins)	4	X	13953175	4.69	6.11	13706468	14244301	near	same
CER1(AR)	1	I	4031580	53.08	7.82	10031	4902407	far	different
CER1(AR)	2	II	9034924	63.46	20.95	5496592	11808207	far	different
CER1(AR)	3	II	13776440	45	7.88	13625009	14149650	far	different
CER1(AR)	4	III	9076918	84.59	62.07	3255057	10583506	near	different
CER16-2-LTR(ins)	1	X	14221918	17.12	7.94	13842381	14537380	near	same
CER16-I(ins)	1	V	524046	64.86	25.38	26833	1584099	near	different
CER2-I(ins)	1	II	10881274	100	Inf	4411072	12203344	near	different
CER8-I(ins)	1	III	11820342	13.99	6.22	11649030	12048496	far	different
CER8-I(ins)	2	V	18565003	20.37	10.73	17202282	18871420	near	different
CEREP1A(ins)	1	IV	16510344	44.95	13.79	14867576	17020019	near	different
CEREP1A(ins)	2	V	1300515	7.93	7.07	875389	1626674	far	different
CEREP1A(ins)	3	V	5202194	19.69	7.52	4930696	5790312	near	different
Chapaev-1(AR)	1	I	2111365	5.84	8.39	1582134	2425186	near	different
Chapaev-1(AR)	2	IV	4656046	50.37	20.85	2476957	6339582	near	different
Chapaev-1(all)	1	IV	4177294	40.11	8.37	3797678	6117073	near	different
Chapaev-1(ins)	1	I	14028533	25.38	6.28	13788926	15051164	near	different
Chapaev-1(ins)	2	III	9109018	30.97	7.29	7987366	9937731	near	different
HELITRON1(ins)	1	II	6427156	14.22	6.63	5758154	6958143	near	different
HELITRON1(ins)	2	X	16154984	16.86	5.55	15875278	16696678	near	different
HELITRON2(ins)	1	II	3088934	32.75	10.5	2646209	5417700	near	different
HELITRON2(ins)	2	II	8080160	21.96	5.82	7796319	10696862	far	different
HELITRON2(ins)	3	II	12279090	24.71	6.98	12055387	12453031	far	different
HELITRONY2(ins)	1	V	642433	58.33	16.77	56354	1818255	near	different
LINE2C(AR)	1	II	3903834	55.49	30.36	3137182	6778057	near	different
LINE2C(all)	1	II	4870368	58.16	8.51	3503528	5850681	near	different
LINE2C1(ins)	1	I	2111365	57.9	19.43	1415277	3039817	near	different
LINE2D(all)	1	III	759615	92.3	59.46	1306	1648503	near	different
LINE2D(ins)	1	III	759615	99.94	83.62	1934	1702845	near	different
LINE2E(AR)	1	V	7857946	36.97	5.88	7600345	9368499	far	different
LINE2E(AR)	2	V	19511037	19.38	6.17	18642688	19694338	far	different
LINE2E(AR)	3	X	1559986	100	Inf	21131	2757493	near	different
LONGPAL1(ins)	1	X	12238156	47.16	11.56	11276223	12532445	near	different
LTRCER1(ins)	1	III	7064189	32.97	9.21	4846153	9928342	near	different
MAR(AR)	1	II	13216163	21.89	7.5	13031416	13604034	far	different
MAR(AR)	2	V	8960543	91.02	79.66	4431710	13194958	near	different
MAR(AR)	3	V	17435709	21.89	6.69	17088622	17659207	near	different
MAR(AR)	4	X	8626536	37.64	5.8	8012845	9795255	far	different
MARINCE1(AR)	1	X	5181315	32.21	6.59	4829417	5606294	near	different
