piRNA Transcript	Transposon	Number of Mismatches
C44A5.1	WBT00000751	0
F38C2.58	LINE2C	0
F40D4.15	CER15-I	0
F54D1.13	WBT00000416	0
K03D3.19	WBT00000618	0
Y40C7B.6	WBT00000637	0
Y41E3.359	WBT00000047	0
Y71G12B.34	CER16-2-I	0
Y73B6BL.104	MAR	0
Y73F8A.162	MARINER3	0
Y73F8A.162	WBT00000132	0
C39H7.39	CER9-I	1
C48D1.8	TURMOIL1	1
C56A3.11	Chapaev-2	1
H32C10.45	CER17-I	1
Y105C5A.119	PALTA3	1
Y105C5A.997	WBT00000628	1
Y10G11A.31	LINE2D	1
Y10G11A.31	MAR	1
Y40H7A.183	LINE2C	1
Y4C6A.58	HELITRON2	1
Y4C6A.62	WBT00000590	1
Y57G11C.140	MARINER3	1
Y57G11C.440	CER5-I	1
Y57G11C.931	WBT00000599	1
Y57G11C.938	Tc3	1
Y67A10A.33	HELITRON2	1
Y73F8A.1046	MIRAGE1	1
Y73F8A.466	CELE12A	1
Y73F8A.996	WBT00000213	1
AC7.29	HAT2	2
AC7.29	WBT00000416	2
AC7.6	Tc9	2
B0547.14	WBT00000416	2
C06E7.12	CEMUDR2	2
C06E7.63	HAT3	2
C08C3.5	CEMUDR2	2
C08F11.103	CER10-I	2
C09G4.7	LONGPAL3	2
C10G6.10	RTE1	2
C11D2.85	WBT00000617	2
C24D10.39	WBT00000700	2
C27H2.59	MARINCE1	2
C27H2.75	Tc5	2
C31H1.37	MARINER2	2
C39H7.64	PALTTTAAA3	2
C39H7.64	WBT00000590	2
C46G7.37	CER6	2
C47A4.22	CER9-I	2
C48D1.8	CELE1	2
E03H12.19	Tc5	2
F02H6.67	WBT00000700	2
F13G11.36	CER10-LTR	2
F22H10.8	Chapaev-1	2
F26D12.50	Tc4v	2
F52D4.7	WBT00000627	2
F54D1.16	PALTA1	2
H04M03.62	WBT00000637	2
H06H21.14	WBT00000618	2
H06H21.18	WBT00000416	2
H08M21.5	LINE2C	2
H12I19.59	Tc1	2
H16O14.8	MIRAGE1	2
H25K10.90	HAT3	2
LLC1.112	Chapaev-2	2
LLC1.65	WBT00000207	2
LLC1.85	HELITRON2	2
M02D8.8	PALTA1	2
M03D4.36	WBT00000645	2
M03D4.64	Tc5A	2
M04B2.9	WBT00000047	2
M199.118	WBT00000642	2
M199.29	WBT00000134	2
M199.73	WBT00000637	2
M199.87	PAL8C_3	2
R05A10.79	LINE2G	2
T06A10.45	CEREP1A	2
T06A10.49	MIRAGE1	2
T06A10.90	WBT00000637	2
T19E7.16	MIRAGE1	2
T23G4.112	MAR	2
T23G4.122	PALTTAA1	2
T25E12.15	NPAL5A	2
T27A3.10	WBT00000581	2
VY10G11R.42	CER2-I	2
W01A8.9	WBT00000700	2
Y105C5A.1028	CER7-I	2
Y105C5A.1091	WBT00000084	2
Y105C5A.1170	LINE2C	2
Y105C5A.204	CER10-I	2
Y105C5A.336	CER10-I	2
Y105C5A.564	WBT00000416	2
Y105C5A.741	WBT00000600	2
Y105C5A.895	WBT00000637	2
Y105C5A.932	CEMUDR1	2
Y105C5A.989	WBT00000637	2
Y105C5B.1056	WBT00000637	2
Y105C5B.1057	LONGPAL1	2
Y105C5B.1253	HELITRONY4	2
Y105C5B.1353	WBT00000047	2
Y105C5B.1354	Tc6	2
Y105C5B.427	LINE2H	2
Y105C5B.671	CEMUDR2	2
Y105C5B.718	PALTA1	2
Y105C5B.805	WBT00000700	2
Y105C5B.869	MARINER3	2
Y105C5B.869	WBT00000132	2
Y10G11A.37	LINE2C	2
Y116A8A.110	CEMUDR2	2
Y116A8A.110	WBT00000637	2
Y116A8B.89	MARINER5	2
Y116A8C.278	HAT3	2
Y116A8C.296	PAL8C_5	2
Y116A8C.84	WBT00000132	2
Y37A1A.136	NeSL-1	2
Y37A1B.172	Tc5	2
Y37A1B.201	WBT00000416	2
Y37A1B.272	CER12-I	2
Y37A1B.68	TURMOIL1	2
Y40H7A.217	Tc9	2
Y40H7A.225	CER13-I	2
Y40H7A.233	Chapaev-1	2
Y40H7A.245	WBT00000637	2
Y40H7A.282	LONGPAL2	2
Y41E3.338	CELE46B	2
Y41E3.408	Tc5	2
