Chromosome	Chromosome Start	Chromosome End	Transposable Element Name	Orientation
I	46012	46436	WBT00000416	+
I	74440	74534	WBT00000543	-
I	74469	74577	WBT00000544	+
I	185098	188148	WBT00000095	+
I	186272	188077	WBT00000695	+
I	216923	217647	WBT00000747	-
I	224017	228946	WBT00000718	-
I	598760	601097	WBT00000057	-
I	931690	932936	WBT00000190	+
I	1534476	1535764	WBT00000444	+
I	1800625	1800777	WBT00000556	-
I	1860803	1860954	WBT00000511	+
I	1933541	1933671	WBT00000545	-
I	1980116	1980851	WBT00000720	-
I	1998046	1999637	WBT00000348	+
I	2050094	2054778	WBT00000741	-
I	2055128	2059225	WBT00000714	-
I	2130469	2131900	WBT00000716	-
I	2198936	2199871	WBT00000306	+
I	2908724	2909996	WBT00000726	+
I	3087239	3087939	WBT00000698	+
I	3088123	3088256	WBT00000509	-
I	3133412	3134756	WBT00000694	-
I	3491066	3492710	WBT00000081	-
I	3848192	3851906	WBT00000704	+
I	4098356	4099335	WBT00000118	+
I	4607281	4607983	WBT00000750	+
I	4752021	4753267	WBT00000139	+
I	4814234	4816112	WBT00000679	+
I	5467638	5468196	WBT00000397	-
I	5555290	5557609	WBT00000697	-
I	5979171	5982780	WBT00000748	+
I	6144803	6145134	WBT00000684	-
I	6228402	6229717	WBT00000325	+
I	6350254	6352595	WBT00000691	-
I	7641969	7642398	WBT00000378	+
I	7842677	7846194	WBT00000094	+
I	7980330	7981520	WBT00000235	+
I	8073937	8074083	WBT00000478	+
I	8372597	8373845	WBT00000152	+
I	8464483	8465739	WBT00000226	+
I	8541434	8543867	WBT00000620	+
I	8546030	8546623	WBT00000431	-
I	8619198	8622493	WBT00000607	+
I	9003078	9003217	WBT00000483	+
I	9082221	9082689	WBT00000398	-
I	9300569	9301855	WBT00000436	+
I	9452925	9453829	WBT00000352	-
I	9497553	9500233	WBT00000428	+
I	9637733	9638686	WBT00000344	+
I	9656102	9656900	WBT00000628	+
I	9679408	9682912	WBT00000092	+
I	9776377	9777018	WBT00000315	+
I	10239327	10241663	WBT00000071	+
I	10263384	10263646	WBT00000331	+
I	10303481	10318903	WBT00000738	+
I	10459794	10461875	WBT00000585	-
I	10499869	10500754	WBT00000581	+
I	10528239	10529850	WBT00000041	-
I	10620082	10620504	WBT00000366	-
I	10910263	10911223	WBT00000677	+
I	11028086	11029293	WBT00000308	-
I	11084167	11084261	WBT00000523	-
I	11115746	11115894	WBT00000546	-
I	11142279	11143242	WBT00000350	+
I	11170352	11172238	WBT00000077	-
I	11305494	11305759	WBT00000215	+
I	11338209	11339453	WBT00000298	-
I	11426833	11427483	WBT00000202	-
I	11637142	11638430	WBT00000441	+
I	11849276	11851613	WBT00000066	-
I	11943137	11944381	WBT00000299	-
I	12401475	12402721	WBT00000150	-
I	12481326	12482902	WBT00000044	-
I	12891059	12891182	WBT00000530	-
I	13085944	13100993	WBT00000637	+
I	13147486	13148695	WBT00000605	-
I	13162689	13164027	WBT00000337	-
I	13212304	13213549	WBT00000199	-
I	13455974	13458310	WBT00000067	+
I	13487643	13488982	WBT00000641	-
I	13522126	13523380	WBT00000254	+
I	13595054	13597430	WBT00000746	+
I	13740031	13742366	WBT00000069	-
I	13875433	13875518	WBT00000555	+
I	13929367	13936509	WBT00000647	+
I	13977273	13978094	WBT00000433	+
I	13989998	13992231	WBT00000592	+
I	14021875	14023486	WBT00000017	+
I	14248297	14250100	WBT00000599	-
I	14290435	14295316	WBT00000600	+
I	14315924	14316023	WBT00000488	-
I	14479182	14479280	WBT00000567	-
I	14529711	14529819	WBT00000568	-
I	14574684	14574780	WBT00000569	+
I	14637660	14637764	WBT00000570	-
I	14637827	14638199	WBT00000418	+
I	14729742	14730191	WBT00000391	+
I	14753441	14753553	WBT00000506	+
I	14981062	14983778	WBT00000591	+
I	14998883	14998938	WBT00000419	-
II	16022	18357	WBT00000053	-
II	425679	425860	WBT00000363	+
II	478294	480629	WBT00000064	+
II	507265	508093	WBT00000327	+
II	526951	527252	WBT00000404	-
II	665446	667031	WBT00000008	-
II	784381	785993	WBT00000023	+
II	802093	802848	WBT00000233	-
II	894210	895821	WBT00000035	-
II	996810	998885	WBT00000048	+
II	1031685	1032931	WBT00000165	-
II	1044191	1044343	WBT00000510	+
II	1076025	1081644	WBT00000003	+
II	1153121	1154454	WBT00000409	-
II	1698101	1699285	WBT00000322	+
II	1809094	1810756	WBT00000655	-
II	1827276	1828886	WBT00000345	+
II	1855618	1857797	WBT00000752	-
II	1935480	1937092	WBT00000022	+
II	1941946	1943106	WBT00000734	+
II	1959107	1961569	WBT00000733	+
II	2094620	2094797	WBT00000707	-
II	2125626	2128686	WBT00000703	+
II	2155910	2157592	WBT00000663	-
II	2266810	2270555	WBT00000009	+
II	2284258	2285318	WBT00000128	+
