"","trait","marker","gene_id","molecular_name","gene_name","corrected_spearman_cor"
"1","rh_max_1yr","II_3321985","WBGene00021590","Y46D2A.2",NA,-0.462742651336631
"2","wd_max_1yr","V_15330744","WBGene00005499","ZK1037.8","srh-295",-0.460489584608434
"3","ws_max_3mo","V_16614716","WBGene00012526","Y32B12C.3",NA,-0.460330343088311
"4","wd_max_1yr","V_15195313","WBGene00004037","Y75B12B.6","plc-2",-0.454662615397165
"5","wd_max_1yr","V_15213564","WBGene00005536","C41G6.11","sri-24",-0.452357103286941
"6","rh_max_3mo","II_3362044","WBGene00021728","Y49F6C.6",NA,-0.451231214234728
"7","ws_max_3mo","V_16618523","WBGene00050904","Y70C5A.3",NA,-0.447870476185281
"8","rh_max_1yr","II_3338619","WBGene00017455","F14D2.7",NA,-0.445184594944974
"9","wd_max_1yr","V_14900328","WBGene00010386","H12D21.10a",NA,-0.444532221292202
"10","wd_max_1yr","V_15013200","WBGene00008832","F14H8.1a","obr-2",-0.444532221292202
"11","wd_max_1yr","V_15180481","WBGene00011669","T09F5.10",NA,-0.444532221292202
"12","wd_max_1yr","V_15181322","WBGene00011669","T09F5.10",NA,-0.444532221292202
"13","wd_max_1yr","V_15183708","WBGene00011670","T09F5.11","fbxa-84",-0.444532221292202
"14","wd_max_1yr","V_15189273","WBGene00013569","Y75B12B.4","bath-36",-0.444532221292202
"15","wd_max_1yr","V_15215852","WBGene00005538","C41G6.14","sri-26",-0.444532221292202
"16","wd_max_1yr","V_15219979","WBGene00005381","C41G6.9","srh-165",-0.444532221292202
"17","wd_max_1yr","V_15227030","WBGene00005761","C41G6.8a","srw-14",-0.444532221292202
"18","wd_max_1yr","V_15230646","WBGene00005762","C41G6.3","srw-15",-0.444532221292202
"19","wd_max_1yr","V_15232509","WBGene00005760","C41G6.15","srw-13",-0.444532221292202
"20","wd_max_1yr","V_15258900","WBGene00010800","M01B2.7","srsx-37",-0.444532221292202
"21","wd_max_1yr","V_15270359","WBGene00011697","T10H4.4",NA,-0.444532221292202
"22","wd_max_1yr","V_15276235","WBGene00005764","T10H4.6","srw-17",-0.444532221292202
"23","wd_max_1yr","V_15280032","WBGene00005766","T10H4.8","srw-19",-0.444532221292202
"24","wd_max_1yr","V_15308098","WBGene00014195","ZK1037.11","srz-10",-0.444532221292202
"25","wd_max_1yr","V_15315810","WBGene00014191","ZK1037.3","srt-22",-0.444532221292202
"26","wd_max_1yr","V_15316960","WBGene00014192","ZK1037.4a","nhr-246",-0.444532221292202
"27","wd_max_1yr","V_15319628","WBGene00045515","ZK1037.13",NA,-0.444532221292202
"28","wd_max_1yr","V_15325136","WBGene00014193","ZK1037.5","nhr-247",-0.444532221292202
"29","wd_max_1yr","V_15325290","WBGene00014193","ZK1037.5","nhr-247",-0.444532221292202
"30","wd_max_1yr","V_15346960","WBGene00007804","C29F3.3",NA,-0.444532221292202
"31","wd_max_1yr","V_15355395","WBGene00007807","C29F3.7a",NA,-0.444532221292202
"32","wd_max_1yr","V_15382780","WBGene00006147","R08H2.2","str-88",-0.444532221292202
