CHROM	POS	log10p	Variance Explained	Region Start	Region End	Peak Position	Bonferroni Corrected Threshold	Above Bonferroni
I	8174	0	NA	NA	NA	NA	5.494	0
I	10031	0.082396	NA	NA	NA	NA	5.494	0
I	13078	0.082396	NA	NA	NA	NA	5.494	0
I	13117	0.440113	NA	NA	NA	NA	5.494	0
I	19284	0	NA	NA	NA	NA	5.494	0
I	19285	0	NA	NA	NA	NA	5.494	0
I	19317	0.134146	NA	NA	NA	NA	5.494	0
I	22257	0.440113	NA	NA	NA	NA	5.494	0
I	29180	0	NA	NA	NA	NA	5.494	0
I	32927	0.10791	NA	NA	NA	NA	5.494	0
I	33020	0	NA	NA	NA	NA	5.494	0
I	35007	0.752623	NA	NA	NA	NA	5.494	0
I	35028	0	NA	NA	NA	NA	5.494	0
I	35128	0	NA	NA	NA	NA	5.494	0
I	39717	0	NA	NA	NA	NA	5.494	0
I	39808	0	NA	NA	NA	NA	5.494	0
I	44163	0.440113	NA	NA	NA	NA	5.494	0
I	59829	0	NA	NA	NA	NA	5.494	0
I	64044	0.10478	NA	NA	NA	NA	5.494	0
I	64161	0	NA	NA	NA	NA	5.494	0
I	64166	0	NA	NA	NA	NA	5.494	0
I	67301	0	NA	NA	NA	NA	5.494	0
I	67303	0.030684	NA	NA	NA	NA	5.494	0
I	67746	0	NA	NA	NA	NA	5.494	0
I	71818	0	NA	NA	NA	NA	5.494	0
I	78303	0	NA	NA	NA	NA	5.494	0
I	88134	0	NA	NA	NA	NA	5.494	0
I	88221	0	NA	NA	NA	NA	5.494	0
I	90114	0	NA	NA	NA	NA	5.494	0
I	96615	0	NA	NA	NA	NA	5.494	0
I	107263	0	NA	NA	NA	NA	5.494	0
I	108557	0	NA	NA	NA	NA	5.494	0
I	108600	0	NA	NA	NA	NA	5.494	0
I	109219	0	NA	NA	NA	NA	5.494	0
I	111733	0	NA	NA	NA	NA	5.494	0
I	113914	0	NA	NA	NA	NA	5.494	0
I	120738	0	NA	NA	NA	NA	5.494	0
I	121024	0.10791	NA	NA	NA	NA	5.494	0
I	125328	0	NA	NA	NA	NA	5.494	0
I	129317	0	NA	NA	NA	NA	5.494	0
I	129324	0	NA	NA	NA	NA	5.494	0
I	129793	0.082396	NA	NA	NA	NA	5.494	0
I	130380	0.224853	NA	NA	NA	NA	5.494	0
I	130381	0.224853	NA	NA	NA	NA	5.494	0
I	136765	0	NA	NA	NA	NA	5.494	0
I	136834	0.440113	NA	NA	NA	NA	5.494	0
I	136882	0	NA	NA	NA	NA	5.494	0
I	140883	0	NA	NA	NA	NA	5.494	0
I	142075	0	NA	NA	NA	NA	5.494	0
I	165787	0	NA	NA	NA	NA	5.494	0
I	165789	0	NA	NA	NA	NA	5.494	0
I	165855	0	NA	NA	NA	NA	5.494	0
I	165926	0	NA	NA	NA	NA	5.494	0
I	165927	0	NA	NA	NA	NA	5.494	0
I	171171	0.440113	NA	NA	NA	NA	5.494	0
I	189916	0.095207	NA	NA	NA	NA	5.494	0
I	190047	0	NA	NA	NA	NA	5.494	0
I	190961	0	NA	NA	NA	NA	5.494	0
I	190963	0	NA	NA	NA	NA	5.494	0
I	200075	0.10478	NA	NA	NA	NA	5.494	0
I	200231	0.082396	NA	NA	NA	NA	5.494	0
I	203260	0.082396	NA	NA	NA	NA	5.494	0
I	203395	0.095207	NA	NA	NA	NA	5.494	0
I	206753	0.440113	NA	NA	NA	NA	5.494	0
I	206805	0	NA	NA	NA	NA	5.494	0
I	208758	0	NA	NA	NA	NA	5.494	0
I	209520	0.082396	NA	NA	NA	NA	5.494	0
I	213244	0.10478	NA	NA	NA	NA	5.494	0
