Wormbase ID	Sequence Name	Gene Name	Protein Coding Variation	rho with telomere length	Maximally correlated variant
WBGene00012605	Y38F1A.1		TRUE		
WBGene00045389	Y38F1A.11		FALSE		
WBGene00012606	Y38F1A.2		TRUE		
WBGene00004232	Y38F1A.3	ptr-18	TRUE		
WBGene00012607	Y38F1A.4		TRUE		
WBGene00000870	Y38F1A.5	cyd-1	TRUE		
WBGene00199368	Y38F1A.12		FALSE		
WBGene00012608	Y38F1A.6		TRUE		
WBGene00012609	Y38F1A.7		TRUE		
WBGene00012610	Y38F1A.8		TRUE		
WBGene00003860	Y38F1A.9		FALSE		
WBGene00008932	F18A11.5		TRUE		
WBGene00003144	Y38F1A.10	max-2	TRUE		
WBGene00202000	Y38F1A.13		FALSE		
WBGene00197909	F18A11.9		FALSE		
WBGene00200302	F18A11.11		FALSE		
WBGene00197983	F18A11.10		FALSE		
WBGene00197188	F18A11.8		FALSE		
WBGene00201591	F18A11.12		FALSE		
WBGene00008929	F18A11.2		TRUE		
WBGene00008930	F18A11.3		TRUE		
WBGene00044057	F18A11.7		TRUE		
WBGene00004242	F18A11.1	puf-6	TRUE	0.408499520348851	II:13041552
WBGene00008933	F18A11.6		FALSE		
WBGene00009644	F42G4.7		TRUE		
WBGene00009641	F42G4.2		TRUE		
WBGene00006999	F42G4.3	zyx-1	TRUE		
WBGene00172401	F42G4.8		FALSE		
WBGene00200870	F42G4.10		FALSE		
WBGene00200330	F42G4.9		FALSE		
WBGene00009642	F42G4.5		TRUE		
WBGene00009643	F42G4.6		FALSE		
WBGene00014953	Y81G3A.2		TRUE		
WBGene00195150	Y81G3A.6		TRUE		
WBGene00013590	Y81G3A.1		FALSE		
WBGene00013591	Y81G3A.3	gcn-2	TRUE		
WBGene00013592	Y81G3A.4		TRUE		
WBGene00000661	Y81G3A.5	col-86	TRUE		
WBGene00009245	F29C12.3	rict-1	TRUE		
WBGene00004120	F29C12.1	pqn-32	TRUE		
WBGene00009246	F29C12.4	gfm-1	TRUE		
WBGene00009247	F29C12.5	bath-45	TRUE		
WBGene00009249	F29C12.7		FALSE		
WBGene00009248	F29C12.6		TRUE		
WBGene00009310	F32A11.5		FALSE		
WBGene00009309	F32A11.4		FALSE		
WBGene00009311	F32A11.7	mltn-1	TRUE		
WBGene00199283	F32A11.9		FALSE		
WBGene00009308	F32A11.3		TRUE		
WBGene00001998	F32A11.2	hpr-17	TRUE		
WBGene00009307	F32A11.1		TRUE		
WBGene00003388	F32A11.6	moe-3	TRUE		
WBGene00196988	F32A11.8		FALSE		
WBGene00012372	W09H1.1		TRUE		
WBGene00219228	W09H1.8		FALSE		
WBGene00001947	W09H1.2	his-73	TRUE		
WBGene00012373	W09H1.3		TRUE		
WBGene00012374	W09H1.4		TRUE		
WBGene00012375	W09H1.5	mecr-1	TRUE		
WBGene00195754	W09H1.7		FALSE		
WBGene00002264	W09H1.6	lec-1	TRUE		
WBGene00000274	F15D4.1	btf-1	TRUE		
WBGene00008859	F15D4.2		TRUE		
WBGene00001459	F15D4.8	flp-16	TRUE		
WBGene00008860	F15D4.3	rmo-1	TRUE		
WBGene00008861	F15D4.4		TRUE		
WBGene00008862	F15D4.5		TRUE		
WBGene00165653	F15D4.9		FALSE		
WBGene00168059	F15D4.10		FALSE		
WBGene00008863	F15D4.6		TRUE		
WBGene00012985	Y48C3A.1		TRUE		
WBGene00202202	Y48C3A.24		FALSE		
WBGene00012989	Y48C3A.5		TRUE		
WBGene00012988	Y48C3A.4	ztf-22	TRUE		
WBGene00199755	Y48C3A.22		FALSE		
WBGene00200945	Y48C3A.23		FALSE		
WBGene00012987	Y48C3A.3		TRUE		
WBGene00003119	Y48C3A.7	mac-1	TRUE		
WBGene00012990	Y48C3A.8	sam-10	TRUE		
WBGene00194807	Y48C3A.21		FALSE		
WBGene00012992	Y48C3A.10	mrpl-20	TRUE		
WBGene00012993	Y48C3A.11	dmsr-3	TRUE		
WBGene00220170	Y48C3A.25		FALSE		
WBGene00012998	Y48C3A.20		TRUE		
WBGene00012994	Y48C3A.12		TRUE		
WBGene00012995	Y48C3A.14		TRUE		
WBGene00012996	Y48C3A.16	pinn-4	TRUE		
WBGene00001162	Y48C3A.17	efl-2	TRUE		
WBGene00012997	Y48C3A.18		TRUE		
WBGene00013014	Y48E1C.1		TRUE		
WBGene00013015	Y48E1C.2		TRUE		
WBGene00013017	Y48E1C.4		TRUE		
WBGene00013016	Y48E1C.3	tbc-15	TRUE		
WBGene00008444	E01G4.1	tbc-14	TRUE		
WBGene00199027	E01G4.8		FALSE		
WBGene00004116	E01G4.4	pqn-27	TRUE		
WBGene00008446	E01G4.3		TRUE		
WBGene00219226	E01G4.9		FALSE		
WBGene00008447	E01G4.5		TRUE		
WBGene00045410	E01G4.7		FALSE		
WBGene00008448	E01G4.6		TRUE		
WBGene00000113	F45H10.1	alh-7	TRUE		
WBGene00009739	F45H10.2		FALSE		
WBGene00009740	F45H10.3		TRUE		
WBGene00009741	F45H10.4	drr-1	TRUE		
WBGene00009742	F45H10.5		FALSE		
WBGene00010069	F54F11.1		TRUE		
WBGene00010070	F54F11.2	nep-17	TRUE	0.468688998985241	II:13515366
WBGene00199001	F54F11.4		FALSE		
WBGene00199747	F54F11.5		FALSE		
WBGene00010071	F54F11.3	sre-45	TRUE		
WBGene00219969	F54F11.6		FALSE		
WBGene00013011	Y48E1B.14	snx-14	TRUE		
WBGene00013001	Y48E1B.2		TRUE		
WBGene00013000	Y48E1B.1	ddl-2	TRUE		
WBGene00013002	Y48E1B.3		TRUE		
WBGene00013004	Y48E1B.5	mrpl-37	TRUE		
WBGene00013006	Y48E1B.7	lin-38	TRUE		
WBGene00013007	Y48E1B.8		TRUE		
WBGene00013013	Y48E1B.16	clec-145	TRUE		
WBGene00013008	Y48E1B.9	clec-146	TRUE		
WBGene00013009	Y48E1B.11	fbxc-23	TRUE		
WBGene00000804	Y48E1B.12	csc-1	TRUE		
WBGene00000819	Y48E1B.13	csp-1	TRUE		
WBGene00001768	Y48E1B.10	gst-20	TRUE		
WBGene00001772	F37B1.1	gst-24	TRUE		
WBGene00001763	F37B1.4	gst-15	TRUE		
WBGene00001762	F37B1.3	gst-14	TRUE		
WBGene00001760	F37B1.2	gst-12	TRUE		
WBGene00255587	F37B1.9		FALSE		
WBGene00001764	F37B1.5	gst-16	TRUE		
WBGene00001767	F37B1.8	gst-19	TRUE		
WBGene00001765	F37B1.6	gst-17	TRUE	0.431079728158232	II:13628517
WBGene00001766	F37B1.7	gst-18	TRUE		
WBGene00006404	C31C9.1	tag-10	TRUE		
WBGene00007836	C31C9.2		TRUE		
WBGene00007837	C31C9.3	fbxa-167	TRUE		
WBGene00007838	C31C9.4	fbxa-168	TRUE		
WBGene00045289	C31C9.8	fbxa-169	TRUE		
WBGene00007840	C31C9.6		TRUE		
WBGene00007841	C31C9.7		FALSE		
WBGene00012999	Y48E1A.1	rpoa-1	TRUE		
WBGene00002235	Y54G9A.3	kqt-3	TRUE		
WBGene00013207	Y54G9A.4		TRUE		
WBGene00195996	Y54G9A.11		FALSE		
WBGene00198455	Y54G9A.14		FALSE		
WBGene00014589	Y54G9A.8		FALSE		
WBGene00044084	Y54G9A.10	sre-46	TRUE		
WBGene00013208	Y54G9A.5		TRUE		
WBGene00013210	Y54G9A.7		TRUE		
WBGene00013209	Y54G9A.6	bub-3	TRUE		
WBGene00013211	Y54G9A.9		TRUE		
WBGene00199681	Y54G9A.15		FALSE		
WBGene00200470	Y54G9A.16		FALSE		
WBGene00196080	Y54G9A.12		FALSE		
WBGene00196823	Y54G9A.13		FALSE		
WBGene00011056	R06B9.5		FALSE		
WBGene00003246	R06B9.6	mig-14	TRUE		
WBGene00011055	R06B9.4	arrd-14	TRUE		
WBGene00011054	R06B9.3	arrd-13	TRUE		
WBGene00011052	R06B9.1	arrd-11	TRUE		
WBGene00011053	R06B9.2	arrd-12	TRUE		
WBGene00194890	C01B9.4		TRUE		
WBGene00219558	C01B9.8		FALSE		
WBGene00206391	C01B9.7		FALSE		
WBGene00007220	C01B9.1		TRUE		
WBGene00044129	C01B9.3		FALSE		
WBGene00194939	C01B9.5		FALSE		
WBGene00200813	C01B9.6		FALSE		
WBGene00013934	ZK131.11		TRUE		
WBGene00001890	ZK131.10		FALSE		
WBGene00201623	ZK131.14		FALSE		
WBGene00001889	ZK131.9		FALSE		
WBGene00199162	ZK131.12		FALSE		
WBGene00001888	ZK131.8		FALSE		
WBGene00001887	ZK131.7		FALSE		
WBGene00001886	ZK131.6		FALSE		
WBGene00001885	ZK131.5		FALSE		
WBGene00200004	ZK131.13		FALSE		
WBGene00001884	ZK131.4		FALSE		
WBGene00001883	ZK131.3		FALSE		
WBGene00001899	ZK131.2		FALSE		
WBGene00001900	ZK131.1		FALSE		
WBGene00001918	F08G2.1		FALSE		
WBGene00001917	F08G2.2		FALSE		
WBGene00001916	F08G2.3	his-42	TRUE		
WBGene00198470	F08G2.15		FALSE		
WBGene00014311	F08G2.10		FALSE		
WBGene00008576	F08G2.4		TRUE		
WBGene00008577	F08G2.5		TRUE		
WBGene00045119	F08G2.13		FALSE		
WBGene00044973	F08G2.12		FALSE		
WBGene00002120	F08G2.6	ins-37	TRUE		
WBGene00199695	F08G2.17		FALSE		
WBGene00014310	F08G2.9		FALSE		
WBGene00008578	F08G2.7		TRUE		
WBGene00197500	F08G2.14		FALSE		
WBGene00198550	F08G2.16		FALSE		
WBGene00008579	F08G2.8		TRUE		
WBGene00014312	F08G2.11		FALSE		
WBGene00013093	Y51H1A.2		TRUE		
WBGene00013094	Y51H1A.3		TRUE		
WBGene00013095	Y51H1A.4	ing-3	TRUE		
WBGene00001838	Y51H1A.5	hda-10	TRUE		
WBGene00013096	Y51H1A.6	mcd-1	TRUE		
WBGene00012197	W02B8.1		TRUE		
WBGene00199931	W02B8.11		FALSE		
WBGene00202145	W02B8.13		FALSE		
WBGene00200558	W02B8.12		FALSE		
WBGene00012198	W02B8.2		TRUE		
WBGene00198365	W02B8.9		FALSE		
WBGene00012199	W02B8.3	mltn-3	TRUE		
WBGene00012200	W02B8.4	mltn-4	TRUE	0.409410041982969	II:13924578
WBGene00044074	W02B8.6	mltn-5	TRUE	0.442354827242351	II:13927609
WBGene00001988	W02B8.5	hot-3	TRUE		
WBGene00198934	W02B8.10		FALSE		
WBGene00196801	W02B8.7		FALSE		
WBGene00197343	W02B8.8		FALSE		
WBGene00199136	W07G1.14		FALSE		
WBGene00200137	W07G1.16		FALSE		
WBGene00012328	W07G1.1		TRUE	0.444281015704062	II:13939074
WBGene00235206	W07G1.24		FALSE		
WBGene00200764	W07G1.19		FALSE		
WBGene00220125	W07G1.23		FALSE		
WBGene00200197	W07G1.17		FALSE		
WBGene00014550	W07G1.9		FALSE		
