chromosome	clone	start	end	strain
I	WRMHS36G13	55763	91597	CB4856
I	WRMHS37E24	55763	91581	CB4856
I	WRMHS7O05	59136	91852	CB4856
I	WRMHS34O11	61933	94717	CB4856
I	WRMHS36E03	63492	93876	CB4856
I	WRMHS38D12	65587	92177	CB4856
I	WRMHS6H24	67616	103612	CB4856
I	WRMHS30M10	86536	118453	CB4856
I	WRMHS24F04	87999	123375	CB4856
I	WRMHS34G02	94563	129738	CB4856
I	WRMHS36L04	102259	139247	CB4856
I	WRMHS25I15	103378	140482	CB4856
I	WRMHS8O17	105929	139476	CB4856
I	WRMHS13E02	115627	153630	CB4856
I	WRMHS3D19	119713	150868	CB4856
I	WRMHS11N05	122078	156317	CB4856
I	WRMHS2I17	128575	161808	CB4856
I	WRMHS8F04	128638	157048	CB4856
I	WRMHS17G22	146033	177995	CB4856
I	WRMHS1B11	148121	184093	CB4856
I	WRMHS18D02	181913	213524	CB4856
I	WRMHS11N08	264018	290058	CB4856
I	WRMHS2C23	266897	298835	CB4856
I	WRMHS4D10	290565	329051	CB4856
I	WRMHS21I19	361701	394600	CB4856
I	WRMHS24K09	417624	453474	CB4856
I	WRMHS23M23	432608	463948	CB4856
I	WRMHS17I03	460187	493278	CB4856
I	WRMHS19L20	461459	498120	CB4856
I	WRMHS29M18	522900	553745	CB4856
I	WRMHS36P02	535851	569819	CB4856
I	WRMHS16D07	567077	605384	CB4856
I	WRMHS8H12	734430	764254	CB4856
I	WRMHS39O16	741822	773616	CB4856
I	WRMHS15O02	744011	775780	CB4856
I	WRMHS18J12	755389	792268	CB4856
I	WRMHS16A12	756138	793586	CB4856
I	WRMHS11L12	757863	786783	CB4856
I	WRMHS29L20	770952	802995	CB4856
I	WRMHS9P15	777377	804762	CB4856
I	WRMHS31D23	789630	825689	CB4856
I	WRMHS39K07	792679	827321	CB4856
I	WRMHS6O01	795207	830438	CB4856
I	WRMHS13F09	805624	844147	CB4856
I	WRMHS25F24	808593	842819	CB4856
I	WRMHS36B17	813624	848854	CB4856
I	WRMHS21K02	818545	849495	CB4856
I	WRMHS32F11	828522	861977	CB4856
I	WRMHS4D11	947731	984973	CB4856
